"","ASV","Count","rel_abun","Family","Host","Total"
"M. lessertiana.49","ASV37",1147,1.11499951394965,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.50","ASV372",1529,1.48634198502965,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.51","ASV378",894,0.869058034412365,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.52","ASV383",1015,0.986682220278021,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.53","ASV392",5648,5.49042480801011,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.54","ASV736",672,0.653251676873724,"Ambisporaceae_core","M. lessertiana",87150
"M. lessertiana.55","ASV926",755,0.733936035773306,"Paraglomeraceae_core","M. lessertiana",87150
"M. lessertiana.56","ASV979",285,0.277048702245553,"Claroideoglomeraceae_core","M. lessertiana",87150
"R. hawaiensis.1","ASV1007",1485,0.703568061326498,"Claroideoglomeraceae_core","R. hawaiensis",170621
"R. hawaiensis.2","ASV1038",99,0.0469045374217665,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.3","ASV1135",4432,2.09980717023504,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.4","ASV1155",843,0.399399242894436,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.5","ASV1175",1122,0.531584757446688,"Archaeosporaceae","R. hawaiensis",170621
"R. hawaiensis.6","ASV1176",3304,1.56537971355067,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.7","ASV1189",820,0.388502229149986,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.8","ASV1195",295,0.139766045852739,"Archaeosporaceae","R. hawaiensis",170621
"R. hawaiensis.9","ASV1197",10,0.0047378320628047,"Archaeosporaceae","R. hawaiensis",170621
"R. hawaiensis.10","ASV1199",4,0.00189513282512188,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.11","ASV1228",1,0.00047378320628047,"Archaeosporaceae","R. hawaiensis",170621
"R. hawaiensis.12","ASV1233",102,0.048325887040608,"Archaeosporaceae_core","R. hawaiensis",170621
"R. hawaiensis.13","ASV1240",242,0.114655535919874,"Archaeosporaceae","R. hawaiensis",170621
